"Bacterial_human_pathogens","state","pathogen_class"
"Granulicatella elegans","alias",3
"Abiotrophia adiacens","alias",3
"Abiotrophia defectiva",,3
"Abiotrophia elegans","alias",3
"Achromobacter aegrifaciens",,4
"Achromobacter animicus",,4
"Achromobacter anxifer",,4
"Achromobacter denitrificans",,4
"Achromobacter dolens",,4
"Achromobacter groups B and E","alias",4
"Achromobacter insolitus",,4
"Achromobacter insuavis",,4
"Achromobacter mucicolens",,4
"Achromobacter piechaudii",,4
"Achromobacter pulmonis",,4
"Achromobacter ruhlandii",,4
"Achromobacter spanius",,4
"Achromobacter spiritinus",,4
"Achromobacter xylosoxidans",,3
"Acidaminococcus fermentans",,4
"Acidaminococcus intestini",,4
"Acidovorax avenae",,4
"Acidovorax delafieldii",,4
"Acidovorax facilis",,4
"Acidovorax temperans",,4
"Acidovorax wautersii",,4
"Acinetobacter baumannii",,3
"Acinetobacter beijerinckii",,4
"Acinetobacter bereziniae",,4
"Acinetobacter calcoaceticus",,4
"Acinetobacter guillouiae",,4
"Acinetobacter gyllenbergii",,4
"Acinetobacter haemolyticus",,4
"Acinetobacter johnsonii",,4
"Acinetobacter junii",,4
"Acinetobacter lwoffi",,3
"Acinetobacter nosocomialis",,4
"Acinetobacter parvus",,4
"Acinetobacter pittii",,4
"Acinetobacter radioresistens",,4
"Acinetobacter schindleri",,4
"Acinetobacter seifertii",,4
"Acinetobacter ursingii",,4
"Actinobacillus actinomycetemcomitans","alias",4
"Actinobacillus equuli",,4
"Actinobacillus hominis",,4
"Actinobacillus lignieresii",,4
"Actinobacillus suis",,4
"Actinobacillus ureae",,2
"Actinomadura latina",,4
"Actinomadura madurae",,4
"Actinomadura pelletieri",,4
"Actinomadura sputi",,4
"Actinomadura vinacea",,4
"Actinomyces cardiffensis",,2
"Actinomyces dentalis",,2
"Actinomyces europaeus",,2
"Actinomyces funkei",,2
"Actinomyces georgiae",,2
"Actinomyces gerencseriae",,2
"Actinomyces graevenitzii",,2
"Actinomyces hominis",,2
"Actinomyces hongkongensis",,2
"Actinomyces israelii",,2
"Actinomyces johnsonii",,2
"Actinomyces massiliensis",,2
"Actinomyces meyeri",,2
"Actinomyces naeslundii",,2
"Actinomyces neuii anitratus",,2
"Actinomyces neuii neuii",,2
"Actinomyces odontolyticus",,2
"Actinomyces oricola",,2
"Actinomyces oris",,2
"Actinomyces radicidentis",,2
"Actinomyces radingae",,2
"Actinomyces timonensis",,2
"Actinomyces turicensis",,2
"Actinomyces urogenitalis",,2
"Actinomyces viscosus",,2
"Actinotignum massiliense","alias",4
"Actinotignum sanguinis",,4
"Actinotignum schaalii",,3
"Actinotignum urinale",,4
"Advenella incenata",,4
"Aerococcus sanguinicola",,3
"Aerococcus urinae",,3
"Aerococcus urinaehominis",,3
"Aerococcus viridans",,2
"Aeromonas allosaccharophila",,2
"Aeromonas bestiarum",,2
"Aeromonas caviae","alias",2
"Aeromonas diversa",,2
"Aeromonas enteropelogenes",,2
"Aeromonas hydrophila",,2
"Aeromonas jandaei",,2
"Aeromonas media",,2
"Aeromonas punctata",,2
"Aeromonas salmonicida",,2
"Aeromonas sanarellii",,2
"Aeromonas schubertii",,2
"Aeromonas taiwanensis",,2
"Aeromonas tecta",,2
"Aeromonas trota",,2
"Aeromonas tructi","alias",2
"Aeromonas veronii",,2
"Afipia birgiae",,4
